datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C1;C2;D;D1_liste;D1_summe_kandidaten;D1_summe_liste_kandidaten;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D1_13;D1_14;D1_15;D1_16;D1_17;D1_18;D1_19;D1_20;D1_21;D1_22;D1_23;D1_24;D1_25;D1_26;D1_27;D1_28;D1_29;D1_30;D1_31;D1_32;D1_33;D2_liste;D2_summe_kandidaten;D2_summe_liste_kandidaten;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_7;D2_8;D2_9;D2_10;D2_11;D2_12;D2_13;D2_14;D2_15;D2_16;D2_17;D2_18;D2_19;D2_20;D2_21;D2_22;D2_23;D2_24;D2_25;D2_26;D2_27;D2_28;D2_29;D2_30;D2_31;D2_32;D3_liste;D3_summe_kandidaten;D3_summe_liste_kandidaten;D3_1;D3_2;D3_3;D3_4;D3_5;D3_6;D3_7;D3_8;D3_9;D3_10;D3_11;D3_12;D3_13;D3_14;D3_15;D3_16;D3_17;D5_liste;D5_summe_kandidaten;D5_summe_liste_kandidaten;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D5_10;D5_11;D5_12;D5_13;D5_14;D5_15;D5_16;D5_17;D5_18;D5_19;D5_20;D5_21;D6_liste;D6_summe_kandidaten;D6_summe_liste_kandidaten;D6_1;D6_2;D6_3;D6_4;D6_5;D6_6;D6_7;D7_liste;D7_summe_kandidaten;D7_summe_liste_kandidaten;D7_1;D7_2;D7_3;D7_4;D7_5;D7_6;D7_7;D7_8;D7_9
12.09.2021;Wahl zum Rat der Stadt Verden;03361012;;Borstel;4;4;1159;462;0;1621;1188;505;13;1175;3494;297;916;1213;166;18;156;19;21;33;168;17;50;7;18;13;11;12;6;0;1;5;38;10;6;34;11;4;3;9;15;51;6;1;1;1;5;425;433;858;26;26;49;19;2;13;10;13;13;8;22;15;4;20;51;23;10;10;8;0;2;1;2;2;3;1;52;4;4;2;4;14;411;347;758;89;10;14;40;24;1;8;7;27;37;6;12;4;12;3;9;44;132;375;507;52;203;2;69;5;6;0;2;0;1;2;2;7;1;4;12;0;0;1;5;1;44;17;61;1;4;1;8;0;0;3;54;43;97;19;3;4;2;3;8;1;1;2
12.09.2021;Wahl zum Rat der Stadt Verden;03361012;;Dauelsen;7;7;1879;547;0;2426;1978;1019;23;1955;5782;541;1292;1833;42;15;494;33;81;11;108;56;38;23;23;3;29;11;27;5;9;10;10;26;19;9;5;63;4;6;5;3;5;53;4;25;37;859;1074;1933;57;38;454;22;11;12;23;50;17;26;8;15;18;12;28;49;11;10;45;34;6;11;0;3;9;8;11;3;11;47;5;20;593;489;1082;73;32;14;47;84;2;4;25;56;6;15;13;23;41;7;12;35;219;337;556;130;49;6;22;16;4;4;8;13;18;0;10;0;10;1;18;5;3;8;6;6;72;38;110;9;6;8;4;7;2;2;125;143;268;48;10;7;21;7;12;5;24;9
12.09.2021;Wahl zum Rat der Stadt Verden;03361012;;Döhlbergen-Hutbergen;3;3;833;200;0;1033;645;326;12;633;1882;188;410;598;23;8;143;18;2;8;44;8;13;41;3;1;10;0;1;0;0;13;4;20;2;5;6;0;0;2;1;0;4;13;0;0;17;225;312;537;23;11;25;8;1;16;10;13;0;0;4;4;106;7;12;11;6;16;4;0;1;1;2;0;1;4;3;3;3;2;5;10;189;169;358;36;16;3;20;22;1;3;2;16;8;8;7;5;1;1;10;10;82;188;270;135;6;3;9;3;4;0;0;1;1;0;5;0;0;1;6;1;0;12;1;0;23;26;49;10;3;6;2;2;2;1;17;53;70;16;1;15;3;3;4;4;4;3
12.09.2021;Wahl zum Rat der Stadt Verden;03361012;;Eitze;4;4;905;327;0;1232;1125;575;23;1102;3276;294;1076;1370;55;28;156;23;36;119;100;9;16;11;324;1;9;3;2;4;1;5;16;16;70;8;3;7;4;1;10;12;1;0;0;8;18;434;396;830;23;7;27;13;8;35;10;16;20;4;6;8;9;16;15;19;74;8;6;11;0;3;2;4;4;2;23;1;4;4;2;12;353;233;586;55;10;9;37;5;3;2;6;26;10;18;6;4;17;4;10;11;106;202;308;120;20;1;20;2;3;0;0;0;0;1;7;0;0;0;0;22;0;1;0;5;35;32;67;8;3;10;2;4;2;3;61;54;115;19;5;4;12;1;6;1;3;3
12.09.2021;Wahl zum Rat der Stadt Verden;03361012;;Hönisch;2;2;519;108;0;627;617;297;6;611;1703;196;400;596;44;11;89;12;7;9;52;7;10;78;6;1;2;3;4;9;0;9;4;5;1;3;4;0;0;1;0;0;2;0;1;6;20;226;211;437;18;12;27;5;1;1;14;16;6;2;2;6;17;5;18;11;6;2;7;1;1;1;1;0;1;0;7;8;2;1;5;7;221;183;404;48;17;6;14;13;10;2;0;18;9;14;4;2;11;1;7;7;71;92;163;46;12;0;2;1;1;3;0;3;1;3;2;0;10;0;2;1;0;2;0;3;39;15;54;7;2;3;2;1;0;0;22;27;49;16;1;4;0;3;1;0;2;0
12.09.2021;Wahl zum Rat der Stadt Verden;03361012;;Scharnhorst;4;4;876;239;0;1115;967;504;7;960;2861;311;548;859;45;18;151;10;15;10;62;23;6;7;8;1;3;5;2;13;4;2;13;13;3;4;3;7;2;3;2;2;2;5;82;0;22;340;564;904;30;46;55;22;0;6;20;46;19;9;1;23;7;10;15;22;5;30;22;8;19;4;21;2;0;2;5;6;10;0;5;94;356;249;605;35;42;27;14;19;1;18;4;32;4;11;11;6;7;4;4;10;134;195;329;39;31;6;13;30;4;10;2;4;3;4;4;0;0;4;30;2;1;0;4;4;46;36;82;15;8;3;4;3;0;3;25;57;82;33;4;1;1;3;2;0;9;4
12.09.2021;Wahl zum Rat der Stadt Verden;03361012;;Walle;4;4;949;310;0;1259;1190;676;38;1152;3438;289;1113;1402;27;3;188;10;24;7;38;24;20;16;12;1;9;3;602;5;4;3;4;29;6;5;13;0;2;1;3;2;8;1;12;2;29;303;537;840;18;15;32;7;13;5;15;13;2;141;4;13;6;18;13;10;6;5;12;2;2;34;4;0;0;2;1;36;59;1;39;9;336;252;588;60;14;9;15;16;3;3;8;34;5;18;4;14;23;2;6;18;142;215;357;75;18;4;14;2;4;0;2;3;2;6;32;3;21;8;0;0;14;0;1;6;58;29;87;9;6;4;0;4;1;5;98;66;164;38;2;1;15;1;2;1;5;1
