"long","lat","order","hole","piece","group","id"
9.30037897426817,52.9216787882776,1696098,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.30056835619805,52.9199803277074,1696099,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.30108509769218,52.9178513357277,1696100,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.30138704122213,52.917299101254,1696101,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.3008294820781,52.915851433084,1696102,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.30191446548164,52.9147711487201,1696103,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.3026630037601,52.9141750893479,1696104,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.30541542562098,52.914544325145,1696105,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.30670939039726,52.9117732293557,1696106,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.30510030290751,52.9112339584544,1696107,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.30528165030549,52.9109442882476,1696108,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.30580332085559,52.9101109875682,1696109,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.30597720684685,52.9098332207243,1696110,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.30473419271685,52.9075096717378,1696111,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.30032582993595,52.9073159318344,1696112,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.29775081725887,52.9071401706345,1696113,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.29591442006962,52.9060884729757,1696114,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.29328095761027,52.9046342176453,1696115,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.29026486314551,52.9029747036619,1696116,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.28634880229317,52.9016431343326,1696117,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.28462144890132,52.9010661383754,1696118,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.28086414461418,52.9003451534219,1696119,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.27876665118929,52.9014570603358,1696120,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.27815234187552,52.9016268771917,1696121,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.27801472626217,52.9023392130742,1696122,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.27764763151796,52.9028113356001,1696123,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.27716448701545,52.9032109176111,1696124,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.27664592373791,52.9034673984221,1696125,FALSE,"1","Verden (Aller).1","Verden (Aller)"
9.27589199107614,52.9036977162582,1696126,FALSE,"1","Verden (Aller).1","Verden (Aller)"
